Season,Day,Hour,Count
2014,Mon,4:00,104
2014,Mon,5:00,277
2014,Mon,6:00,756
2014,Mon,7:00,2283
2014,Mon,8:00,2792
2014,Mon,9:00,2250
2014,Mon,10:00,2193
2014,Mon,11:00,2838
2014,Mon,12:00,3566
2014,Mon,13:00,3345
2014,Mon,14:00,3025
2014,Mon,15:00,3616
2014,Mon,16:00,4531
2014,Mon,17:00,5340
2014,Mon,18:00,4195
2014,Mon,19:00,3260
2014,Mon,20:00,2396
2014,Mon,21:00,1518
2014,Mon,22:00,1027
2014,Mon,23:00,648
2014,Tue,0:00,368
2014,Tue,1:00,229
2014,Tue,2:00,128
2014,Tue,3:00,75
2014,Tue,4:00,102
2014,Tue,5:00,315
2014,Tue,6:00,990
2014,Tue,7:00,2764
2014,Tue,8:00,3466
2014,Tue,9:00,2321
2014,Tue,10:00,2071
2014,Tue,11:00,2924
2014,Tue,12:00,3772
2014,Tue,13:00,3378
2014,Tue,14:00,3092
2014,Tue,15:00,3459
2014,Tue,16:00,4983
2014,Tue,17:00,6187
2014,Tue,18:00,5305
2014,Tue,19:00,4282
2014,Tue,20:00,3142
2014,Tue,21:00,1944
2014,Tue,22:00,1282
2014,Tue,23:00,718
2014,Wed,0:00,372
2014,Wed,1:00,268
2014,Wed,2:00,173
2014,Wed,3:00,75
2014,Wed,4:00,122
2014,Wed,5:00,348
2014,Wed,6:00,914
2014,Wed,7:00,2756
2014,Wed,8:00,3333
2014,Wed,9:00,2206
2014,Wed,10:00,2015
2014,Wed,11:00,2760
2014,Wed,12:00,3599
2014,Wed,13:00,3212
2014,Wed,14:00,2917
2014,Wed,15:00,3318
2014,Wed,16:00,4894
2014,Wed,17:00,6140
2014,Wed,18:00,5150
2014,Wed,19:00,4187
2014,Wed,20:00,3051
2014,Wed,21:00,2159
2014,Wed,22:00,1312
2014,Wed,23:00,727
2014,Thu,0:00,480
2014,Thu,1:00,276
2014,Thu,2:00,164
2014,Thu,3:00,87
2014,Thu,4:00,116
2014,Thu,5:00,302
2014,Thu,6:00,868
2014,Thu,7:00,2534
2014,Thu,8:00,3128
2014,Thu,9:00,2248
2014,Thu,10:00,2240
2014,Thu,11:00,2955
2014,Thu,12:00,3833
2014,Thu,13:00,3303
2014,Thu,14:00,3011
2014,Thu,15:00,3321
2014,Thu,16:00,4567
2014,Thu,17:00,5552
2014,Thu,18:00,4581
2014,Thu,19:00,3636
2014,Thu,20:00,2715
2014,Thu,21:00,1973
2014,Thu,22:00,1309
2014,Thu,23:00,931
2014,Fri,0:00,558
2014,Fri,1:00,440
2014,Fri,2:00,249
2014,Fri,3:00,97
2014,Fri,4:00,116
2014,Fri,5:00,289
2014,Fri,6:00,756
2014,Fri,7:00,2382
2014,Fri,8:00,3175
2014,Fri,9:00,2241
2014,Fri,10:00,2387
2014,Fri,11:00,3618
2014,Fri,12:00,4535
2014,Fri,13:00,4357
2014,Fri,14:00,4098
2014,Fri,15:00,4265
2014,Fri,16:00,5304
2014,Fri,17:00,5473
2014,Fri,18:00,4574
2014,Fri,19:00,3881
2014,Fri,20:00,3227
2014,Fri,21:00,2473
2014,Fri,22:00,2026
2014,Fri,23:00,1623
2014,Sat,0:00,1129
2014,Sat,1:00,837
2014,Sat,2:00,796
2014,Sat,3:00,224
2014,Sat,4:00,88
2014,Sat,5:00,139
2014,Sat,6:00,270
2014,Sat,7:00,736
2014,Sat,8:00,1388
2014,Sat,9:00,2402
2014,Sat,10:00,3862
2014,Sat,11:00,5115
2014,Sat,12:00,6185
2014,Sat,13:00,6508
2014,Sat,14:00,6762
2014,Sat,15:00,6310
2014,Sat,16:00,5987
2014,Sat,17:00,5106
2014,Sat,18:00,4624
2014,Sat,19:00,3732
2014,Sat,20:00,2904
2014,Sat,21:00,2408
2014,Sat,22:00,2060
2014,Sat,23:00,1447
2014,Sun,0:00,1107
2014,Sun,1:00,898
2014,Sun,2:00,839
2014,Sun,3:00,276
2014,Sun,4:00,129
2014,Sun,5:00,138
2014,Sun,6:00,276
2014,Sun,7:00,473
2014,Sun,8:00,1064
2014,Sun,9:00,1994
2014,Sun,10:00,3669
2014,Sun,11:00,4875
2014,Sun,12:00,5769
2014,Sun,13:00,6354
2014,Sun,14:00,6337
2014,Sun,15:00,6578
2014,Sun,16:00,6006
2014,Sun,17:00,5038
2014,Sun,18:00,4495
2014,Sun,19:00,3607
2014,Sun,20:00,2581
2014,Sun,21:00,1640
2014,Sun,22:00,967
2014,Sun,23:00,632
2015,Mon,0:00,350
2015,Mon,1:00,197
2015,Mon,2:00,141
2015,Mon,3:00,80
2015,Mon,4:00,96
2015,Mon,5:00,317
2015,Mon,6:00,801
2015,Mon,7:00,2429
2015,Mon,8:00,3264
2015,Mon,9:00,2788
2015,Mon,10:00,2529
2015,Mon,11:00,3260
2015,Mon,12:00,4087
2015,Mon,13:00,3772
2015,Mon,14:00,3852
2015,Mon,15:00,3895
2015,Mon,16:00,5478
